inventory_id,era,canonical_name,aliases,item_type,product_family,classification,current_status,completion_band,backend,backend_ids,integration_state,intended_price,commercial_model,free_trial,audience,lineage,dependencies,source_docs,source_drive_ids,known_risks,contradictions,current_url
APN-PROD-0011,APN,APN Free Resource Hub + Verified Directory,the harbour | Engine Room | Verified Resource Directory,directory,APN,FREE RESOURCE,DEPLOYED,61-75 Substantial,self,SUP-PROJ-SYDNEY; SUP-TABLE-RESOURCES,VERIFIED CONNECTED,Free | Master Business Plan | n/a,free public asset,free,AU public + businesses embedding it,DWD; APN,Supabase (RLS); embed widget,"APN — Master Business Plan (Living Doc) v1; APN-Project-Overview.md; APN-NETWORK-MAP-v1.md; SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds",1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc; 16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw; 1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0; 1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM,never advertise raw 50k count; anon reads internal columns (backend FIND-005),resource count 268 vs 310/316 vs 48k/50k (CON-007),
APN-PROD-0012,APN,APN Directory / Resource Widget,"Directory Widget | 'build once, use everywhere'",embeddable,APN,SALEABLE STARTER,PLANNED,21-40 Prototype,self,SUP-TABLE-RESOURCES,"CONFIGURED, NOT VERIFIED","Lite A$29/mo | June pricing model | PROPOSED || Pro A$99/mo | PROPOSED || Business A$249/mo | PROPOSED || White-label A$750/mo + A$3,000 setup | PROPOSED",SaaS subscription,trial TBD,"Businesses, associations, agencies",APN,Supabase; embed,APN — Master Business Plan (Living Doc) v1; June Commercial Pricing Model (owner kiwichefchris); apn_master_specification_v2,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc; ; 1eFephrqosyJHAEDf01gMLxkpMLnnIxpMas5vb9bUtUQ,packaging to build,pricing model differs from locked map (CON-001),
APN-PROD-0013,APN,APN Scanner / CID / Intelligence Platform,~20 scanner tools | Composite Am I Exposed | CID,platform,APN,CAPABILITY,PARTIALLY DEPLOYED,21-40 Prototype,self,,UNKNOWN,Usage/seat-based | Master Business Plan | INFERENCE/UNSTATED,usage/seat API,n/a,Developers/resellers building on top,APN,scanner tools; API layer; Supabase,APN — Master Business Plan (Living Doc) v1; DWD2.0.docx,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc; 1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,tools built; platform/API layer to build,,
APN-PROD-0014,APN,TRACE / DataTrace,TRACE | DataTrace.com.au | tracescanner,tool,APN,ACTIVE PRODUCT,UNVERIFIED,21-40 Prototype,external,,UNKNOWN,$75 exposure audit | Network Map | conflicts $200/$350 elsewhere,exposure audit funnel,free scan,Consumers checking their own exposure,ADR; DWD; APN,Scanner engine; 3D graph; Supabase,APN-NETWORK-MAP-v1.md; APN-PORTFOLIO-MAP-CURRENT.md,1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0; 1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI,Portfolio Map lists DataTrace as 'UNKNOWN — confirm what this is',audit price $75 vs $200/$350 (CON-004); DataTrace purpose unknown (CON-008),
APN-PROD-0015,APN,APN Builder ('Product Zero'),Product Zero | the contributor engine,platform,APN,ACTIVE PRODUCT,PLANNED,21-40 Prototype,self,SUP-TABLE-RESOURCE-SUBMISSIONS,CONNECTED BUT INCOMPLETE,n/a (participation) | Project Overview | n/a,participation + packaging,n/a,Public contributors / community,APN,Supabase backbone; review-queue; rewards/profiles,APN-Project-Overview.md,16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw,in development; honesty clause (no income/equity guaranteed),,
APN-PROD-0016,APN,APN Bot Workshop,digital workforce,platform,APN,REQUIRES REVIEW,PLANNED,0-20 Concept shell,self,,NO BACKEND REQUIRED,Licensing | Project Overview | UNSTATED,licensing,n/a,Advanced builders / licensees,APN,Supabase; provenance ledger,APN-Project-Overview.md,16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw,'Later' on roadmap,,
APN-PROD-0017,APN,APN Trust Spine / Verification Machine,Trust Anchor | Verification Machine | Integrity Receipts | identity ladder Tier 0-3 | -> Sovereign Engine,infrastructure,APN,ACTIVE CORE,PLANNED,41-60 Demonstration,self,SUP-TABLE-LEDGER-EVENTS,CONNECTED BUT INCOMPLETE,n/a (infrastructure) | Network Map | n/a,infrastructure,n/a,All APN sites + external orgs,APN; Sovereign,hash-chained ledger; Supabase; key-vault; Ed25519; OpenTimestamps,APN — Master Business Plan (Living Doc) v1; APN-NETWORK-MAP-v1.md; APN-Project-Overview.md,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc; 1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0; 16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw,architecture deep; build pending; matured into Sovereign Engine,,
APN-PROD-0018,APN,Dead Letter Box / 0xBRK.BKWD,0xBRK.BKWD | anonymous-but-provable channel | business-health dashboard,tool,APN,INTERNAL TOOL,PLANNED,21-40 Prototype,self,,NO BACKEND REQUIRED,n/a | Master Business Plan | n/a,internal,n/a,Whistleblowers / internal ops,APN,ledger; Supabase,APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,landing + concept complete; build pending,,
APN-PROD-0019,APN,APN Tech Startup Hub + Sponsors / Jobs Board,Startup Hub | Sponsors | Jobs Board,marketplace,APN,INDUSTRY SIDE DOOR,PARTIALLY DEPLOYED,21-40 Prototype,self,SUP-TABLE-JOBS; SUP-TABLE-ADS; SUP-TABLE-INQUIRIES; SUP-TABLE-PACKAGES,CONNECTED BUT INCOMPLETE,"Profile A$29/mo | June model | PROPOSED || Featured A$79/mo | PROPOSED || Partner A$299/mo | PROPOSED || Boosters A$49/A$149 | PROPOSED || Jobs A$99/A$199 | PROPOSED || Category sponsor A$1,500/mo | PROPOSED || Network sponsor A$5,000/mo | PROPOSED || Self-serve ad A$299/30d | PROPOSED",listings + sponsorship + ads,n/a,AU tech startups + sponsors + job-seekers,APN,Supabase; Stripe,APN-NETWORK-MAP-v1.md; June Commercial Pricing Model (owner kiwichefchris); apn_master_specification_v2,1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0; ; 1eFephrqosyJHAEDf01gMLxkpMLnnIxpMas5vb9bUtUQ,dashboard in hand; ships unfinished with coming-soon note; tables currently empty,pricing model source (CON-001),
APN-PROD-0020,APN,Government & Public API Index,public-sector directory,directory,APN,FREE RESOURCE,PLANNED,21-40 Prototype,self,,NO BACKEND REQUIRED,Free | Project Overview | INFERENCE,free,free,"Developers, researchers, public",APN,Supabase,APN-Project-Overview.md,16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw,in development,,
APN-PROD-0021,APN,APN Site Bundle,shared front-of-house layer | branding kit,component_library,APN,INTERNAL TOOL,PARTIALLY DEPLOYED,41-60 Demonstration,self,,NO BACKEND REQUIRED,n/a | Network Map | n/a,internal,n/a,All APN network sites,APN,shared components,APN-NETWORK-MAP-v1.md,1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0,branding locked; ad slots/donation footer new,,
APN-PROD-0022,APN,APN Education Arm,prevention/uplift | Government 101,content,APN,FREE RESOURCE,PLANNED,0-20 Concept shell,none,,NO BACKEND REQUIRED,Unstated | Master Business Plan | INFERENCE,content/courses,n/a,General public / at-risk groups,ADR; APN,video/course platform,APN — Master Business Plan (Living Doc) v1; ADR_Business_Breakdown.md,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc; 1FvErnZmcqs9OfW1Xzqqr0zeouImDxOvk,planned,,
APN-PROD-0023,APN,APN Modernised API Design Standard,governance spine | public resource,document,APN,REFERENCE,DEPLOYED,61-75 Substantial,none,,NO BACKEND REQUIRED,Free resource | Sovereign review | n/a,free resource,free,Government/enterprise API teams,APN; Sovereign,,"03 — APN Modernised API Design Standard; SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds",1QrPtLxj-xZ4fizZklZLFwdTwb7Kkvu8HlfIYW2RO3tI; 1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM,implementation artifact (document),,
APN-PROD-0024,Sovereign,Sovereign Engine (assurance core),the matured Trust Spine | assurance core,infrastructure,Sovereign,ACTIVE CORE,PLANNED,41-60 Demonstration,self,SUP-TABLE-LEDGER-EVENTS,CONNECTED BUT INCOMPLETE,"Pilot / licence / sector / usage | Commercial Discussion Pack | STRUCTURES ONLY, NUMBERS WITHHELD",pilot/licence/sector/portfolio/usage,paid pilot,"Enterprise: education, gov/justice, workforce, procurement, compliance, certification",APN Trust Spine; Sovereign,SHA-256 hash chain; Supabase/Postgres (Sydney); RLS; RFC 3161; OpenTimestamps; S3 Object Lock; Ed25519 v0.3,"APN-Sovereign-Engine-Commercial-Discussion-Pack; SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds; 01 — Sovereign Engine — Controlled Commercial Review — July 2026",1aWDwF0wHP8DxM48aMF2X1rdr3ap-cveBee-kFwJGpGs; 1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM; 1yIrAYGYcmADzBfBDeKax3CroI5jfO0tQ,external witness (Layer C) designed not built -> not independently tamper-evident (backend FIND-004); doc ledger model not in visible account,independent tamper-evidence not achieved (CON-011),
APN-PROD-0025,Sovereign,Assay Seal v0.1,assay/0.1 receipt | the tested primitive,tool,Sovereign,ACTIVE CORE,DEMONSTRATION,41-60 Demonstration,none,,NO BACKEND REQUIRED,n/a | Assay Seal Build Book | n/a,core primitive,n/a,Any product needing offline tamper-evidence,Sovereign,browser crypto (SHA-256),01 — Assay Seal v0.1 — Build Book and 8-of-8 Logic Tests,1QOcgR3MiBP15K4zt8DH7cAyVqNEuDCa2GkaGD8R2gHk,8/8 logic tests pass BUT UI never browser-tested; seal.html/verify.html/test.mjs MISSING from Drive,executables missing — cannot reproduce tests (CON-009 related),
APN-PROD-0026,Sovereign,APN Seal / Sign & Stamp,Sign & Stamp | field-compliance application,application,Sovereign,INDUSTRY SIDE DOOR,PLANNED,21-40 Prototype,self,SUP-TABLE-LEDGER-EVENTS,CONNECTED BUT INCOMPLETE,Design + market-validated | Sovereign review | UNSTATED,per-seat / per-site,n/a,"Construction/resources/EHS (vs Procore, SafetyCulture, HammerTech)",Sovereign,Assay Seal core; receipts,"SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds; 02 — APN Seal — Market and Build Report",1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM; 1Wk4qCdu9Fe7LEeuKtXq9fo-ghm3TRJCYoFcEaxdYEkc,no regulator requires crypto integrity (signed PDF already satisfies WHS/ISO 45001) — stay in claim boundary,,
APN-PROD-0027,Sovereign,APN Backbone (apn-backbone-sydney),canonical ledger | plhpjktkzsbfnltemhdl | apn_ledger_events,backend,Sovereign,ACTIVE CORE,DEPLOYED,61-75 Substantial,self,SUP-PROJ-SYDNEY; SUP-TABLE-LEDGER-EVENTS,VERIFIED CONNECTED,n/a (infrastructure) | Portfolio Map + LIVE-DB | n/a,infrastructure,n/a,All APN machines/products,APN; Sovereign,Supabase Postgres 17; RLS; RPC; pg_cron; pg_net,"SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds; APN-PORTFOLIO-MAP-CURRENT.md",1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM; 1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI,append-only NOT enforced vs TRUNCATE (backend FIND-001); not tamper-evident until Layer C,,https://plhpjktkzsbfnltemhdl.supabase.co
APN-PROD-0028,Sovereign,APN Ledger Trust / provenance-keeper,apn-provenance-keeper | public verify surface,product_surface,Sovereign,PUBLIC FRONT DOOR,PARTIALLY DEPLOYED,41-60 Demonstration,external,SUP-RECON-LEDGER-LOCATION,WRONG BACKEND / UNKNOWN,Free | Sovereign review | n/a,free public,free,Anyone verifying a receipt,Sovereign,backbone; verifier functions,"SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds",1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM,doc ledger (ledger_entries/Merkle/Ed25519) NOT in visible Supabase account; verifier fns not anon-exposed,backend location unknown (SUP-RECON-LEDGER-LOCATION),
APN-PROD-0029,Sovereign,Certificate / Trust-Seal Template,the CERTIFY step | Perth Safe Pet instance,template,Sovereign,REFERENCE,DEPLOYED,41-60 Demonstration,none,,NO BACKEND REQUIRED,n/a | Sovereign review | n/a,template,n/a,Any certified product,Sovereign,,"SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds",1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM,implementation artifact,,
APN-PROD-0030,Sovereign,APN Widget Studio (guardian-studio),apn-guardian-studio | embeddable trust widgets,embeddable,Sovereign,ACTIVE PRODUCT,DEPLOYED,41-60 Demonstration,self,SUP-PROJ-SYDNEY,"CONFIGURED, NOT VERIFIED",Bundled with widget tiers | Sovereign review | UNSTATED,widget tiers,trial TBD,Third-party site owners,Sovereign,backbone; embed,"SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds",1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM,commercial packaging pending,,
APN-PROD-0031,Sovereign,Sovereign Suite family,Sovereign Circle | Launch Accelerator | Sovereign Hub | Sovereign Forge | sovereignsuite.com.au,product_family,Sovereign,ACTIVE PRODUCT,PARTIALLY DEPLOYED,41-60 Demonstration,external,,"CONFIGURED, NOT VERIFIED","Sovereign Forge $5,000 founder funnel | Sovereign review | STATED",funnel + suite,n/a,Founders / commercial buyers,Sovereign,backbone; Stripe,"SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds",1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM,Hub duplicates Suite; Forge has a duplicate to retire; stronger public claims to verify,Sovereign Hub vs Suite duplication (CON-012),
APN-PROD-0032,Sovereign,Sovereign standalones & harvest/merge/bin set,AssistHub AI | Launch Ready Review | APN Lighthouse Vision | Your Project Story | APN Surgery Suite | Project Hub Navigator | Account Consolidation Hub | The Inner Critic | Friendly Hub Finder,triage_set,Sovereign,REQUIRES REVIEW,UNVERIFIED,0-20 Concept shell,none,,UNKNOWN,varies | Sovereign review | UNSTATED,varies,n/a,varies,Sovereign,,"SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds",1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM,mostly name-only triage lines; 'Friendly Hub Finder' published publicly — flagged to unpublish,,
APN-PROD-0033,Filing Machine,Watchkeeper's Filing Machine,filing-machine | File Brain (name unconfirmed) | Watchkeeper's Filing Machine,bundle,Filing Machine,INTERNAL TOOL,PLANNED,21-40 Prototype,none,,NO BACKEND REQUIRED,Not priced (internal artifact) | filing-machine doc | n/a,internal packaging,n/a,Founder + collaborators/reviewers,Filing Machine,self-contained HTML/SVG/MD/JSON,filing-machine (x5 duplicate docs); FilingMachine.html; FilingMachine_v2.html; APN_SOVEREIGN_ENGINE_TECHNICAL_BOOK.md,1Zo7-jurmZCWVvHlI4wu37PY8nhsfbtMFsLdLs-QCtYw; 1_AzMovFaqLq-uHvFD1G1PMAj-akR_QjZ; 10z5GwwmgxA6Ty7WdUx90pbw3uVzmbBB8; 11rwZ53moe2iDnSC200P4kwVtcR88sz6MOl3owpuktuU,asset links are placeholder docs.google paths; 5 duplicate copies,'File Brain' name not found verbatim (CON-009),
APN-PROD-0034,Verticals,SafePet / Perth Pets,Perth Pets — Trusted & Safe | perthsafepet.lovable.app,vertical_product,Verticals,INDUSTRY SIDE DOOR,DEPLOYED,41-60 Demonstration,external,,"WRONG BACKEND / UNKNOWN (Lovable, not Supabase Sydney)",Rehoming/platform fees (unset — sandbox) | SafePet review | UNSET,rehoming/platform fees,n/a,WA pet buyers/sellers/rescues,Sovereign; Verticals,"Lovable; Stripe (sandbox, connected 17 Jul); Sovereign identity engine; guardian AI",SafePet_Compliance_Legal_Privacy_Review,1eupouhlVS4A1WewLaqejbJu_LlbhaK5mPAW828VYvGw,no privacy policy/terms/entity shown; '100% verified' vs 'pending' (ACL risk); NFP structure; NDB plan; refund terms before Stripe live; automated-decision disclosure binds 10 Dec 2026,'100% verified/0 anonymous' vs 'pending' reality (CON-014); payments sandbox (CON-010),https://perthsafepet.lovable.app
APN-PROD-0035,Verticals,Sovereign Tank (showcase / game),~100 owned tanks | free-to-play,game,Verticals,FUTURE,PLANNED,0-20 Concept shell,none,,NO BACKEND REQUIRED,Limited-edition owned tanks (premium) | Sovereign review | UNSTATED,limited-edition + free-to-play,free-to-play,Enthusiasts / showcase audience,Sovereign; Verticals,engine; game front-end,"SOVEREIGN ENGINE — Uses, Extensions and Keeper Builds; sovereigntankdesign.md",1235yBjKhXpAScE4dpIEgYDjji31UBo60KB8XLGKLIVM; 1npV7tw4m2DJjuJLnZnA7kk9YdmW0I8j0J_Yi1gsw8vo,utility->real-money economy 'needs an AU gambling/gaming lawyer before anything real',distinct from Sovereign Tank Lab (0005) and Master Spec UI 'Sovereign Tank' node,
APN-PROD-0036,Verticals,Sovereignty Lab / reseller cluster,Sovereign-Status | v0-sovereignty-lab-ui | sovereignsuite.com.au,platform,Verticals,REQUIRES REVIEW,PLANNED,21-40 Prototype,self,SUP-TABLE-RESOURCES,"CONFIGURED, NOT VERIFIED",Widget/API subscriptions | Portfolio Map | UNSTATED,reseller subscription,n/a,Developers / resellers,APN; Verticals,widget/API; Supabase,APN-PORTFOLIO-MAP-CURRENT.md; APN-NETWORK-MAP-v1.md,1B9P3VZACABcKenc9zPdYerQdOEGrUhJNcEwjQob3kEI; 1XjCzP2b4VFkdY0hCLX0IaQz79dsqkTP0W5sq8E_5SW0,"'DO NOT SHIP AS-IS' — strip fabricated certs/scanners/guarantees; keep only 2 real engines (DNS mapper, doc/PII analyzer)",,
APN-PROD-0037,Verticals,Executive / Corporate Privacy,corporateprivacy.au | executiveprivacy.au,service,Verticals,ACTIVE PRODUCT,PARTIALLY DEPLOYED,21-40 Prototype,external,,NO BACKEND REQUIRED,Premium (maps to Guardian/Retainer) | Project Overview | INFERENCE,premium retainer,n/a,"Executives, directors, family offices",ADR; Verticals,ADR delivery; landers,APN-Project-Overview.md; DWD2.0.docx,16xmNJ3epeKHI4o0MQT31XyEgE_KyEwriQM1hMwVI2Yw; 1UigDmhZs-9wmLf-Ys3F3LYcYnCw1GHrV,'Limited Intake',,
APN-PROD-0038,Verticals,Hologram Safety Displays,industrial / mining,hardware_concept,Verticals,FUTURE,PLANNED,0-20 Concept shell,none,,NO BACKEND REQUIRED,Unstated | Master Business Plan | UNSTATED,hardware,n/a,Mining/industrial EHS,Verticals,hardware,APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,concept only,,
APN-PROD-0039,Verticals,Sovereign Data Environment (ADS),ADS | air-gapped casework backbone,infrastructure,Verticals,INTERNAL TOOL,PLANNED,21-40 Prototype,none,,NO BACKEND REQUIRED,n/a (infrastructure) | Master Business Plan | n/a,infrastructure,n/a,ADR casework (internal),ADR; Verticals,AU hosting; isolation,APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,architecture role defined,,
APN-PROD-0040,Verticals,Mass-Breach Response Packages,Optus/Medibank-scale,offer,Verticals,FUTURE,PLANNED,0-20 Concept shell,external,,NO BACKEND REQUIRED,Productised packages | Master Business Plan | UNSTATED,productised packages,n/a,Consumers/orgs hit by a mass breach,ADR; Verticals,ADR delivery; scanners,APN — Master Business Plan (Living Doc) v1,1G_lBLty7YUtOMjxz-mM-5H_mXyoKKny9dHaAAvjo1fc,Year-2 revenue line,,
