product_id,canonical_name,backend,backend_ids,integration_state,notes
APN-PROD-0032,Sovereign standalones & harvest/merge/bin set,none,,UNKNOWN,mostly name-only triage lines; 'Friendly Hub Finder' published publicly — flagged to unpublish
APN-PROD-0033,Watchkeeper's Filing Machine,none,,NO BACKEND REQUIRED,asset links are placeholder docs.google paths; 5 duplicate copies
APN-PROD-0034,SafePet / Perth Pets,external,,"WRONG BACKEND / UNKNOWN (Lovable, not Supabase Sydney)",no privacy policy/terms/entity shown; '100% verified' vs 'pending' (ACL risk); NFP structure; NDB plan; refund terms before Stripe live; automated-decision disclosure binds 10 Dec 2026
APN-PROD-0035,Sovereign Tank (showcase / game),none,,NO BACKEND REQUIRED,utility->real-money economy 'needs an AU gambling/gaming lawyer before anything real'
APN-PROD-0036,Sovereignty Lab / reseller cluster,self,SUP-TABLE-RESOURCES,"CONFIGURED, NOT VERIFIED","'DO NOT SHIP AS-IS' — strip fabricated certs/scanners/guarantees; keep only 2 real engines (DNS mapper, doc/PII analyzer)"
APN-PROD-0037,Executive / Corporate Privacy,external,,NO BACKEND REQUIRED,'Limited Intake'
APN-PROD-0038,Hologram Safety Displays,none,,NO BACKEND REQUIRED,concept only
APN-PROD-0039,Sovereign Data Environment (ADS),none,,NO BACKEND REQUIRED,architecture role defined
APN-PROD-0040,Mass-Breach Response Packages,external,,NO BACKEND REQUIRED,Year-2 revenue line
APN-PROD-0041,Social Mission — Elderly Care,none,,NO BACKEND REQUIRED,Year 4+ concept
